defect_id,unit_id,batch_id,checkpoint_id,defect_type,severity,root_cause,reported_date
DEF-00001,UNIT-10488,BATCH-2025-00731,3,Speaker distortion,Low,Environmental exposure,2025-12-29
DEF-00002,UNIT-28817,BATCH-2025-02015,3,Speaker distortion,Medium,Supplier quality issue,2025-11-04
DEF-00003,UNIT-23888,BATCH-2025-01672,3,Low volume output,Medium,Equipment calibration drift,2025-12-21
DEF-00004,UNIT-48958,BATCH-2026-03425,4,Charging instability,Low,Equipment calibration drift,2026-03-12
DEF-00005,UNIT-18550,BATCH-2025-01297,8,Packaging damage,High,Investigation pending,2025-01-24
DEF-00006,UNIT-21234,BATCH-2025-01485,7,Thermal runaway risk,Medium,Packaging error,2025-01-22
DEF-00007,UNIT-10347,BATCH-2025-00721,5,Screen artifact,High,Environmental exposure,2025-08-07
DEF-00008,UNIT-36640,BATCH-2026-02561,7,Overheating,Low,Supplier quality issue,2026-06-05
DEF-00009,UNIT-19198,BATCH-2025-01343,1,Connector misalignment,Low,Investigation pending,2025-07-28
DEF-00010,UNIT-46369,BATCH-2026-03249,1,Short circuit,High,Handling damage,2026-06-15
DEF-00011,UNIT-31804,BATCH-2026-02225,1,Connector misalignment,Critical,Material defect,2026-02-25
DEF-00012,UNIT-43504,BATCH-2026-03048,8,Ingress issue,Critical,Handling damage,2026-08-25
DEF-00013,UNIT-42542,BATCH-2025-02982,8,Packaging damage,High,Packaging error,2025-08-19
DEF-00014,UNIT-31656,BATCH-2025-02215,7,Overheating,Critical,Handling damage,2025-07-14
DEF-00015,UNIT-47835,BATCH-2025-03349,5,Color calibration issue,Medium,Handling damage,2025-01-28
DEF-00016,UNIT-30728,BATCH-2026-02149,5,Dead pixel,High,Supplier quality issue,2026-08-17
DEF-00017,UNIT-05435,BATCH-2026-00373,3,Speaker distortion,High,Environmental exposure,2026-08-26
DEF-00018,UNIT-19890,BATCH-2025-01391,6,Signal interference,High,Handling damage,2025-06-23
DEF-00019,UNIT-27604,BATCH-2025-01930,5,Screen artifact,Low,Environmental exposure,2025-03-11
DEF-00020,UNIT-27499,BATCH-2025-01923,4,Battery not detected,Medium,Packaging error,2025-11-18
